Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
19.2,2,0.0885890480133727708808167902,0.094188443,0.092802458,0.088697079,0.087310249,0.155752271,0.1588961497124849762627964493,0.1173909113307663762627964493,0.041505238,5.3313676073597230580355363268,46.4817729759997139183571188,47.473702596949209504450489305,1139410000
19.21,2,0.0885772158700232608808167902,0.094176213,0.092791617,0.088685232,0.087299792,0.15574145,0.1588849569509755954041611188,0.1173797185692569954041611188,0.041505238,5.3308260850552471813646669092,46.48263250658154057725270531,47.474256113072994527823904113,1140003000
19.22,2,0.0885653966970054408808167902,0.094163996,0.092780787,0.088673399,0.087289347,0.155730634,0.1588737695305079945971760466,0.1173685311487893945971760466,0.041505238,5.3302850520038069267829842159,46.483488989942484525867794049,47.474807373264707988845665714,1140596000
19.23,2,0.0885535894821532908808167902,0.094151792,0.092769967,0.088661577,0.087278911,0.155719833,0.1588625979050672717012351812,0.1173573595233486717012351812,0.041505238,5.3297448060340222281564603102,46.484345476689357781563204967,47.475358924741463998554881672,1141190000
19.24,2,0.0885417952133264208808167902,0.0941396,0.092759159,0.088649768,0.087268486,0.15570904,0.1588514343030145942552314183,0.1173461959212959942552314183,0.041505238,5.3292051228489338630929304503,46.485204608602729875669821403,47.475913063045653733604097664,1141783000
19.25,2,0.0885300137831014108808167902,0.094127423,0.092748362,0.088637973,0.087258072,0.15569826,0.1588402839783890548116109228,0.1173350455966704548116109228,0.041505238,5.3286661513096675415013895002,46.486059254796414090869301364,47.476463669194240797405825723,1142377000
19.26,2,0.0885182542746962908808167902,0.094115267,0.092737585,0.088626199,0.087247677,0.155687479,0.1588291338501688962814408589,0.1173238954684502962814408589,0.041505238,5.3281275150166473409896727182,46.486914251907553196591024476,47.477014941117891559901966823,1142970000
19.27,2,0.0885064986760460408808167902,0.094103116,0.09272681,0.088614429,0.087237285,0.155676715,0.1588179995369204634279183198,0.1173127611552018634279183198,0.041505238,5.3275896597528617193807293663,46.487769244486298506542299444,47.477566490369213944811520174,1143564000
19.28,2,0.0884947639751108308808167902,0.094090986,0.092716055,0.08860268,0.087226911,0.155665965,0.1588068811035938910013751759,0.1173016427218752910013751759,0.041505238,5.3270525857230452824114631079,46.488629162464523749867416116,47.478122525190859650737085699,1144157000
19.29,2,0.0884830320645679208808167902,0.094078859,0.092705301,0.088590934,0.087216538,0.155655218,0.1587957654345093577958419678,0.1172905270527907577958419678,0.041505238,5.3265159155346844118618004009,46.489480343338748124143353416,47.478671445414020284183544881,1144751000
19.3,2,0.0884713140277354708808167902,0.094066746,0.092694558,0.088579201,0.087206177,0.155644481,0.1587846604539638165446681843,0.1172794220722452165446681843,0.041505238,5.3259798745462005895116677078,46.490336090534015491340712046,47.479224568688704279925122122,1145344000
19.31,2,0.0884596178526486308808167902,0.094054655,0.092683836,0.088567491,0.087195836,0.155633755,0.1587735661436511789301180639,0.1172683277619325789301180639,0.041505238,5.3254444605772133210979686904,46.491190318437558254959104098,47.479776695918232650940202328,1145938000
19.32,2,0.0884479344320591708808167902,0.094042578,0.092673125,0.088555793,0.087185506,0.155623036,0.1587624798964924546769411876,0.1172572415147738546769411876,0.041505238,5.3249095972844757363145842092,46.492037351445706418198160099,47.480322991336959474082972127,1146531000
19.33,2,0.0884362641559000308808167902,0.094030514,0.092662426,0.088544109,0.087175186,0.155612332,0.1587514093762253943072441630,0.1172461709945067943072441630,0.041505238,5.3243755025619236929844635251,46.492894149422829688339316443,47.480877898391524932233083322,1147124000
19.34,2,0.0884246043024390308808167902,0.094018461,0.092651735,0.088532435,0.087164875,0.155601631,0.1587403419043053096536308871,0.1172351035225867096536308871,0.041505238,5.3238418115400569968445103,46.493743453840039097320748735,47.48142674141580188635619306,1147718000
19.35,2,0.0884129481678058608808167902,0.094006412,0.092641046,0.088520764,0.087154566,0.155590946,0.1587292902870022058648129576,0.1172240519052836058648129576,0.041505238,5.3233088894355372536316281946,46.494597647926150279364493314,47.481980027953902503203979674,1148311000
19.36,2,0.0884013138354670808808167902,0.093994385,0.092630377,0.088509116,0.087144277,0.155580266,0.1587182440806053404528175915,0.1172130056988867404528175915,0.041505238,5.3227764354021264451257436693,46.495448765432930513345223006,47.482531007021188666899043081,1148905000
19.37,2,0.0883897021982978008808167902,0.093982381,0.09261973,0.08849749,0.087134008,0.155569595,0.1587072085744236463871951338,0.1172019701927050463871951338,0.041505238,5.3222445993113997531067831871,46.496298351630945405083942396,47.483080968584986194263600257,1149498000
19.38,2,0.0883780922445057008808167902,0.09397038,0.092609082,0.088485866,0.087123739,0.155558938,0.1586961864655702393855795203,0.1171909480838516393855795203,0.041505238,5.3217134567740210072686276058,46.497148362146947872482206512,47.483631567127044423547648925,1150092000
19.39,2,0.0883664949623225908808167902,0.093958391,0.092598445,0.088474254,0.08711348,0.155548287,0.1586851698616969527431285833,0.1171799314799783527431285833,0.041505238,5.3211827800349059893912033905,46.497996484343793779977628483,47.484180867101552504152609831,1150685000
19.4,2,0.0883549103400048508808167902,0.093946415,0.09258782,0.088462656,0.087103232,0.155537648,0.1586741665050052534756483237,0.1171689281232866534756483237,0.041505238,5.3206527892358104572974598009,46.498847546984865702526755901,47.484732950925611425543083881,1151278000
19.41,2,0.0883433388514267008808167902,0.093934453,0.092577206,0.08845107,0.087092996,0.155527016,0.1586631711377783750066942196,0.1171579327560597750066942196,0.041505238,5.3201233320983230646382548965,46.499696266993042422823379513,47.485283331267326727163649339,1151872000
19.42,2,0.0883317886075782508808167902,0.093922512,0.092566611,0.088439506,0.087082778,0.155516395,0.1586521866323522450187445178,0.1171469482506336450187445178,0.041505238,5.3195944892528284692365379402,46.500544659627667638022430866,47.485833712770641651510986081,1152465000
19.43,2,0.0883202398932035208808167902,0.093910573,0.092556016,0.088427943,0.08707256,0.155505782,0.1586412103221732587194021247,0.1171359719404546587194021247,0.041505238,5.3190661826522576007861897917,46.501391940087591134643678222,47.486383437245966211228010364,1153059000
19.44,2,0.0883087148872715308808167902,0.093898659,0.092545444,0.088416404,0.087062364,0.155495179,0.1586302446859056319881866446,0.1171250063041870319881866446,0.041505238,5.3185384816491169931531825141,46.502237656136000718713073389,47.486932103280599212960505283,1153652000
19.45,2,0.0882971903875431308808167902,0.093886745,0.09253487,0.088404865,0.087052166,0.155484581,0.1586192845640039617906347254,0.1171140461822853617906347254,0.041505238,5.3180112367773976999883741682,46.503085202872049829520773545,47.487482637383365431497755681,1154246000
19.46,2,0.0882856895730355108808167902,0.093874855,0.092524318,0.08839335,0.087041991,0.155473999,0.1586083404103315429483021357,0.1171031020286129429483021357,0.041505238,5.3174847458622589030716912128,46.503932728599274134626850139,47.488033400219195792460829059,1154839000
